 Waves  and  Spray,'Short'|1800's|short|less  than  5  minutes,Faust  and  Marguerite,'Short'|  'short'|  'less  than  5  minutes',Glasgow  Fire  Engine,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Aladdin  and  the  Wonderful  Lamp,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,The  Mystic  Swing,'Short'|  'Fantasy'|  'short'|  'less  than  5  minutes',The  Corsican  Brothers, 
 The  Artist  and  the  Flower  Girl,'Romance'|  'Short'|1900's|short|less  than  5  minutes,The  Spanish  Jade,1900's,The  Miller  and  Chimney  Sweep,'Short'|  'short'|  'less  than  5  minutes' 
 Beauty  and  the  Beast,'Family'|  'Fantasy'|  'Romance'|1800's|short|less  than  5  minutes,Aladdin  and  the  Wonderful  Lamp,'short',The  Waterer  Watered,1800's|  'short'|  'less  than  5  minutes' 
 Boat  Race,'Short'|1800's|short|less  than  5  minutes,20  000  Leagues  Under  the  Sea,,Coronation  of  a  Village  Maiden,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Bombardment  of  Mafeking,'Drama'|  'Short'|  'War'|1800's|short|less  than  5  minutes,Conjurer  Making  Ten  Hats  in  Sixty  Seconds,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",Baby's  Meal,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 La  bonne  absinthe,'Short'|1800's|short|less  than  5  minutes,Panorama  of  Esplanade  by  Night,'Short'|  'short'|  'less  than  5  minutes',The  X-Ray  Fiend,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Casey  at  the  Bat,'Short'|  'Sport'|1800's|short|less  than  5  minutes,Smarter  than  the  Teacher,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",Demolition  of  a  Wall,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Portuguese  Railway  Train,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Rescued  from  an  Eagle's  Nest,'Short'|  'short',The  Bewitched  Inn,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Haggard's  She:  The  Pillar  of  Fire,'Adventure'|  'Fantasy'|  'Horror'|1800's|short|less  than  5  minutes,The  Price  of  a  Party,,Beach  and  Pier  at  Trouville    2nd  part,1800's|  'short'|  'less  than  5  minutes' 
 Distributing  a  War  Extra,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Blacksmith  Scene,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes'",Raffles    the  Amateur  Cracksman, 
 The  Sign  of  the  Cross,'Fantasy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Last  Bohemian,,The  Hypnotist  at  Work,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Haunted  House,'Comedy'|  'Fantasy'|  'Horror'|1800's|short|less  than  5  minutes,The  Boomerang,'Comedy',Jumping  the  Blanket,1800's|  'short'|  'less  than  5  minutes' 
 A  Turn  of  the  Century  Illusionist,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,Soldiers  of  the  Cross,'Short'|  'short',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Kiss  in  the  Tunnel,'Comedy'|  'Romance'|  'Short'|1800's|short|less  than  5  minutes,Serious  Sixteen,'Short'|  'Comedy'|  'short',Beauty  and  the  Beast,"'Romance'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Legacy,'Short'|1800's|short|less  than  5  minutes,Magical  Sword,'Short'|  'short'|  'less  than  5  minutes',French  Regiment  Going  to  the  Parade,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Matches:  An  Appeal,'Animation'|  'Short'|1800's|short|less  than  5  minutes,Miss  Fatty's  Seaside  Lovers,'Short'|  'short',The  Astronomer's  Dream;  or    the  Man  in  the  Moon,1800's|  'short'|  'less  than  5  minutes' 
 The  Miser's  Doom,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Girl  Who  Wouldn't  Work,,Akrobatisches  Potpourri,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Panorama  from  the  Tower  of  the  Brooklyn  Bridge,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Boston  Tea  Party,'Short'|  'short',Express  Train  on  a  Railway  Cutting,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Transformations,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,For  a  Wife's  Honor,'Short'|  'short',The  Sea,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Summoning  the  Spirits,'Fantasy'|  'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Land  of  Oz,'Short'|  'Fantasy'|  'short',Exit  of  Rip  and  the  Dwarf,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Above  the  Limit,'Comedy'|  'Short'|1900's|short|less  than  5  minutes,45  Minutes  from  Hollywood,"'Short'|  'Comedy'|  ""1900's""|  'short'",Edison  Kinetoscopic  Record  of  a  Sneeze,'Short'|  'short'|  'less  than  5  minutes' 
 Above  the  Speedway,'Documentary'|  'Short'|1900's|short|less  than  5  minutes,History  of  a  Crime,"'Short'|  ""1900's""|  'short'",The  Terrible  Railway  Accident,'Short'|  'short'|  'less  than  5  minutes' 
 Army  Life;  or    How  Soldiers  Are  Made:  Mounted  Infantry,'Documentary'|  'Short'|1900's|short|less  than  5  minutes,Within  the  Law,1900's,The  Cavalier's  Dream,'Short'|  'short'|  'less  than  5  minutes' 
 As  Seen  Through  a  Telescope,'Comedy'|  'Short'|1900's|short|less  than  5  minutes,The  Abandonment,1900's,Edison  Kinetoscopic  Record  of  a  Sneeze,'Short'|  'short'|  'less  than  5  minutes' 
